Order No,Time from Pickup to Arrival
Order_No_25676,6143919.049086412
Order_No_26922,6023868.233074098
Order_No_7589,6347839.830036584
Order_No_124,4645664.606780175
Order_No_14779,5392579.143055226
Order_No_26218,5688850.479307668
Order_No_19977,4812634.939008972
Order_No_14440,5880050.372522669
Order_No_9561,4319776.114113856
Order_No_9009,3830386.624296199
Order_No_20146,4989990.840445816
Order_No_7718,5443235.478485519
Order_No_16083,5799883.969506745
Order_No_3126,5391841.267185306
Order_No_801,5266978.41270263
Order_No_5373,5092063.6776064
Order_No_7421,4976503.171897542
Order_No_602,4982165.867316975
Order_No_9418,4764948.559501718
Order_No_27144,4672414.077758799
Order_No_16792,5909111.980884182
Order_No_21252,3963596.4842726784
Order_No_21129,5529795.191261972
Order_No_18774,5722017.730021947
Order_No_20974,6183589.168882761
Order_No_5267,4547289.430920503
Order_No_25107,5855151.357891149
Order_No_611,3572575.716520337
Order_No_13596,4877559.541336927
Order_No_465,5211689.552250686
Order_No_2236,4805877.748177423
Order_No_3411,4058754.4187406804
Order_No_17613,4455809.070992679
Order_No_27381,5243361.531017579
Order_No_26072,5560024.013612445
Order_No_19414,6422480.919696408
Order_No_21954,5323885.747552283
Order_No_22538,4680475.187580338
Order_No_10756,3946021.4686019537
Order_No_23756,5031095.87469338
Order_No_3807,5706188.456262687
Order_No_18694,4351382.725626311
Order_No_27245,5188385.739466256
Order_No_12437,4126805.3047514027
Order_No_27751,5312844.4189273575
Order_No_22832,5920227.502767166
Order_No_3904,4339207.906817144
Order_No_5230,5293370.346944053
Order_No_13968,4312674.712959896
Order_No_23129,5785475.31139702
Order_No_25454,6170776.116939665
Order_No_25963,4814576.480796332
Order_No_13552,6040975.504917964
Order_No_2495,5121999.877963251
Order_No_5081,3671121.825836616
Order_No_2922,4924232.046647124
Order_No_2016,5017944.682226485
Order_No_1104,5270026.536283201
Order_No_27980,4435567.608646457
Order_No_26414,6100482.765063705
Order_No_22882,4225359.235145224
Order_No_18730,4478310.013860085
Order_No_22573,4690595.058249136
Order_No_3483,4960833.862179785
Order_No_23613,5603393.093285604
Order_No_13591,3420844.2936028335
Order_No_11271,4146812.0938009545
Order_No_26896,4801377.485840504
Order_No_8184,5405280.672441504
Order_No_19027,5646349.335393404
Order_No_1146,5873155.469649926
Order_No_192,4572136.358015346
Order_No_14758,5144055.383644394
Order_No_23931,6100649.624633687
Order_No_9924,5760772.600403692
Order_No_21201,4826302.259715044
Order_No_12726,7161222.938998998
Order_No_25899,5723709.818654382
Order_No_26621,5450327.628569318
Order_No_17483,5807319.100219265
Order_No_2943,4145410.460189237
Order_No_6923,5610163.196371771
Order_No_181,3485389.4961606096
Order_No_19543,4703593.0960667245
Order_No_11022,5377483.167900487
Order_No_16940,3662949.8598339306
Order_No_22316,3537015.3953979546
Order_No_24662,5794583.35463486
Order_No_7034,3759829.010181399
Order_No_13090,4949661.707540139
Order_No_761,5149958.628063774
Order_No_25720,4350064.399939927
Order_No_12467,4065250.3011367894
Order_No_16527,5698942.1510875495
Order_No_15886,4037719.1861981307
Order_No_14129,5638758.975462842
Order_No_22079,4382053.157832463
Order_No_9552,4505602.156050567
Order_No_28093,6661504.477419827
Order_No_3167,5638607.970310212
Order_No_18111,4941319.237013699
Order_No_10981,4658055.256678418
Order_No_17959,5431001.68848774
Order_No_19855,3288309.509080713
Order_No_21278,5734955.605106196
Order_No_5819,5896790.60820741
Order_No_26651,4047427.7838597484
Order_No_6273,3695796.098128027
Order_No_15656,4738544.852071693
Order_No_22,4269653.387430078
Order_No_17367,5623772.005229628
Order_No_257,6208266.414127303
Order_No_15175,5119501.7236423
Order_No_546,4626985.88225862
Order_No_20915,6125780.021734815
Order_No_22885,4803600.64332151
Order_No_4613,4895348.783026032
Order_No_5473,5435635.984156056
Order_No_4698,4003904.360574418
Order_No_5638,5024146.111555519
Order_No_20471,7298679.489793492
Order_No_17954,4399909.969996869
Order_No_14468,4743150.088896366
Order_No_2968,6055517.136897981
Order_No_24419,6262799.671692361
Order_No_7674,4893410.367170222
Order_No_26560,4187687.456136643
Order_No_15611,6583570.183027915
Order_No_15085,4829565.913899641
Order_No_1440,6125477.925024085
Order_No_18237,6159583.105161727
Order_No_8092,5598177.335520887
Order_No_529,6190381.124332704
Order_No_22717,4789740.191054951
Order_No_3509,4400163.821860846
Order_No_26201,4562090.173586199
Order_No_20497,5756047.538208969
Order_No_12558,5721513.494535936
Order_No_23463,4639441.8622128535
Order_No_18978,6397884.226886724
Order_No_5508,6079601.420789104
Order_No_11317,4175460.1730540707
Order_No_13632,3985067.9358094847
Order_No_3751,6591151.781786255
Order_No_27592,7287439.322304597
Order_No_25276,6494755.840200184
Order_No_18188,4815785.48729565
Order_No_27593,5067388.076278539
Order_No_2022,5312936.582785441
Order_No_4713,3714685.7721509426
Order_No_23001,4450659.059995948
Order_No_9222,5599557.241252911
Order_No_3417,5679097.425197527
Order_No_3133,4688922.857295835
Order_No_1571,5067116.842968661
Order_No_14300,4343469.544622155
Order_No_4825,4759073.536420933
Order_No_26248,3722502.57143971
Order_No_22868,5577692.898547386
Order_No_793,4818941.789342123
Order_No_891,3986298.0879825456
Order_No_6505,5362659.010007323
Order_No_12415,3925502.1957546393
Order_No_5850,6028675.482325069
Order_No_12144,4554268.608733321
Order_No_7476,5999081.666475058
Order_No_20096,7087867.103333453
Order_No_13743,5886964.319382255
Order_No_4724,5734740.719303879
Order_No_13814,3947145.2464224207
Order_No_15469,4340388.498756097
Order_No_5324,5636068.253923671
Order_No_11383,4375453.765698534
Order_No_11795,5271243.07602418
Order_No_28131,4475590.961135552
Order_No_9343,3643782.3724554684
Order_No_14195,6355468.36640304
Order_No_2454,5075723.304565909
Order_No_26609,4417067.61156652
Order_No_28252,3797704.5735874497
Order_No_23205,6463917.712566348
Order_No_9462,6030778.936675397
Order_No_5007,4769231.16009323
Order_No_19715,4955406.034891871
Order_No_18543,5941148.068953547
Order_No_4723,6131278.129575222
Order_No_8211,4664797.519092124
Order_No_20360,4400121.986043307
Order_No_24462,5707634.422416445
Order_No_25386,4158240.6508377143
Order_No_26627,4438316.203015031
Order_No_26824,5305115.908320256
Order_No_16072,4303536.4841099605
Order_No_26274,6019827.714865998
Order_No_24873,6203622.265177127
Order_No_2196,5601759.78586267
Order_No_6178,3329036.5697649256
Order_No_4860,4337626.33670047
Order_No_15161,4322759.639698496
Order_No_17712,3308602.1754998807
Order_No_19520,5854545.269438056
Order_No_1723,3334859.459642898
Order_No_8405,6044561.429603653
Order_No_15590,5861783.290731725
Order_No_19280,3678965.379989581
Order_No_19525,5156372.785910663
Order_No_12356,6070725.228139732
Order_No_22797,4673777.635440869
Order_No_14572,5849433.539030874
Order_No_24329,5670909.111784843
Order_No_8204,6546555.82070403
Order_No_24862,3722182.904239745
Order_No_7993,3641642.063172777
Order_No_25182,3947714.9666780042
Order_No_26175,5681613.795363453
Order_No_22936,5050331.385788127
Order_No_9627,6378266.145495127
Order_No_21478,6540146.136869493
Order_No_2713,3216921.248426093
Order_No_12912,5127280.327645832
Order_No_9733,4308220.693175834
Order_No_27705,4363651.436310191
Order_No_24072,3598797.7446673727
Order_No_6066,6080632.3687498765
Order_No_23990,3733598.194764435
Order_No_15876,4141510.3442135598
Order_No_9212,6124843.785724644
Order_No_11773,4572153.792798665
Order_No_17001,4831893.403088576
Order_No_19824,3562401.7556387386
Order_No_7583,5463462.598244665
Order_No_23644,5096709.881569632
Order_No_27423,5507359.708077889
Order_No_1309,3972352.0574155618
Order_No_5014,5262288.273094338
Order_No_27602,5197857.5356310755
Order_No_2683,4481533.132451391
Order_No_16570,5385692.910886487
Order_No_5495,5730655.507622697
Order_No_11062,4254029.614198791
Order_No_15357,4441513.789060078
Order_No_20901,5197038.855871934
Order_No_3808,4260198.755774538
Order_No_25818,5237030.641582304
Order_No_3542,5538884.484120316
Order_No_22955,3926575.8800999224
Order_No_5028,6520903.038725827
Order_No_13893,4995360.119699937
Order_No_16106,3421894.340725649
Order_No_7035,4446484.205245146
Order_No_23600,3918001.7747957227
Order_No_10096,5045604.903283163
Order_No_4422,6121166.8945187535
Order_No_10341,3805669.2868870087
Order_No_4605,3648954.0669910205
Order_No_25427,3665306.4334360436
Order_No_860,5168871.689836556
Order_No_11938,4674952.949619194
Order_No_13777,5660730.9813499525
Order_No_19433,5945229.447685573
Order_No_7271,5611557.467931667
Order_No_3128,6138837.448410605
Order_No_24648,5241404.980140598
Order_No_7965,5441831.044616482
Order_No_23539,4379757.939170316
Order_No_620,3933081.092699427
Order_No_16350,5189444.86643554
Order_No_13676,4208045.740726635
Order_No_20882,5472155.660072076
Order_No_3166,4819111.638949992
Order_No_3996,6169843.888436777
Order_No_13507,6193110.189907037
Order_No_6049,6554013.40386358
Order_No_11012,6615995.6085871775
Order_No_7826,4908515.1956036
Order_No_11432,5204334.408638803
Order_No_23548,4469897.823343615
Order_No_7735,4767434.35325658
Order_No_2526,4417122.516895067
Order_No_2752,4028869.059680429
Order_No_9824,3446336.13033149
Order_No_1993,6144355.474339543
Order_No_715,5843445.379811826
Order_No_287,5881954.81649886
Order_No_13954,4287339.604455242
Order_No_25369,3998149.1305649923
Order_No_21794,4183753.3537951224
Order_No_23016,4994669.822999219
Order_No_27703,5120878.122003306
Order_No_22610,3767322.419288869
Order_No_26104,4785035.839076245
Order_No_9200,7008953.247468767
Order_No_3963,4386061.612098087
Order_No_24998,4091265.2314202613
Order_No_24952,6216012.914633257
Order_No_16235,5188617.742990082
Order_No_15692,5287101.105081973
Order_No_1732,6754029.416468865
Order_No_13963,3233628.671488408
Order_No_25436,4300182.664555542
Order_No_12173,5072919.481865742
Order_No_8096,6419658.235373615
Order_No_16354,3984584.3223847295
Order_No_4998,3765646.808597874
Order_No_19767,5750184.1948604705
Order_No_17583,4591924.659058833
Order_No_20165,5708945.00246615
Order_No_27413,4442683.592350543
Order_No_18577,3610406.96111276
Order_No_27366,4897968.288504374
Order_No_2182,6132225.834191386
Order_No_23384,4562705.952892647
Order_No_23544,4713809.457950642
Order_No_25780,5635675.90480533
Order_No_24473,4056173.80098154
Order_No_1017,4790662.418936526
Order_No_4219,4850417.851655128
Order_No_26712,5579990.160171621
Order_No_12769,4368231.034129914
Order_No_23300,5812473.475866486
Order_No_12204,4690859.981892981
Order_No_15798,4286084.697243819
Order_No_22980,3142130.5290678916
Order_No_7451,4065190.382891627
Order_No_22233,3389363.0144219166
Order_No_21329,4308495.539518001
Order_No_3821,4870306.37024839
Order_No_15311,6089778.895294585
Order_No_2634,4207625.336782886
Order_No_13267,5756511.938533931
Order_No_18825,4409612.700555989
Order_No_1226,3572907.194766457
Order_No_23290,4955528.728262696
Order_No_5187,4450624.155089658
Order_No_24109,4155358.4845161736
Order_No_20780,5779081.483195943
Order_No_21195,5609430.190627139
Order_No_20277,6126598.468140956
Order_No_25197,6741050.376086953
Order_No_4300,5649795.275123367
Order_No_8640,5324608.626183761
Order_No_7512,6025984.591130594
Order_No_1820,4275676.177791224
Order_No_18556,3831974.3394842376
Order_No_23927,3998054.58698719
Order_No_8005,5517438.337074488
Order_No_2549,5974313.817770128
Order_No_27750,4249485.84280677
Order_No_24292,4854770.866140785
Order_No_6218,3997991.6507044947
Order_No_26297,5305595.763910221
Order_No_26382,5456841.969431176
Order_No_2933,4555180.3778200885
Order_No_1643,6101208.44618155
Order_No_1795,4043191.6945502493
Order_No_19055,4325797.837150432
Order_No_16755,3576381.796998734
Order_No_7552,4534571.634763847
Order_No_954,5584969.443345265
Order_No_13396,5489328.401302607
Order_No_272,5138591.987426839
Order_No_7526,5331959.860659747
Order_No_7639,4261694.861811637
Order_No_362,3506359.254542085
Order_No_11265,3880146.817950828
Order_No_19991,4037002.4119238337
Order_No_2898,4378292.695501327
Order_No_24041,5155079.88998056
Order_No_9306,4469830.205925451
Order_No_24256,4753235.359064652
Order_No_3358,5824617.304542133
Order_No_18458,4550152.285567847
Order_No_24037,4775058.954744877
Order_No_21745,5091759.995350515
Order_No_24791,4965249.759491573
Order_No_6329,4114474.1566430144
Order_No_8694,5602391.788681805
Order_No_27757,5417795.551898229
Order_No_4758,6291335.3625397
Order_No_14631,5525633.475451087
Order_No_3434,4951053.612568387
Order_No_13846,3889299.580873685
Order_No_12622,5565124.803582193
Order_No_9441,6004548.77051713
Order_No_90,4203128.084564663
Order_No_7946,4084533.697240155
Order_No_1197,5501375.604066293
Order_No_1201,6157531.749640665
Order_No_23299,5144473.870543944
Order_No_21272,5256785.055194484
Order_No_23873,4863951.781415157
Order_No_12427,3599092.5898673884
Order_No_22203,4456487.160652625
Order_No_18445,5017479.211963096
Order_No_26717,4110524.753162687
Order_No_22256,3485870.1734935516
Order_No_18400,3881418.5143788415
Order_No_9350,5689374.456660364
Order_No_19162,3667174.1441291044
Order_No_14922,6241390.034158563
Order_No_2131,4511569.603015884
Order_No_23408,4760020.140485256
Order_No_2149,4327570.731092488
Order_No_10310,5717731.142290004
Order_No_8168,3883489.535100869
Order_No_2601,6409100.481948751
Order_No_13698,5760759.412099771
Order_No_26624,4740795.619409054
Order_No_27107,5866621.411676612
Order_No_5323,5421810.802523356
Order_No_22269,4706043.988941961
Order_No_21736,3887960.9057020405
Order_No_11521,4443945.2680989085
Order_No_22671,4799280.221777915
Order_No_7912,4781108.100641096
Order_No_5344,4756791.798983326
Order_No_21928,5541446.4328252105
Order_No_7074,5648979.326201289
Order_No_13915,4812278.999305697
Order_No_24101,3744241.6521892585
Order_No_18299,4398498.801976019
Order_No_15816,5218806.5258137155
Order_No_24483,3330774.9416017304
Order_No_20072,5842900.136535073
Order_No_14156,3724585.7019872884
Order_No_18214,6039073.458526408
Order_No_18224,4331307.990041136
Order_No_11799,6261820.584104937
Order_No_22357,5519003.257457243
Order_No_25600,5344663.3631655285
Order_No_8407,6439721.902303685
Order_No_6064,4449331.608423901
Order_No_6036,3489144.466866013
Order_No_9128,5126234.195502725
Order_No_1426,4086156.6052081673
Order_No_19831,4695171.200638405
Order_No_28105,5743442.118987995
Order_No_24585,5538144.271066772
Order_No_23807,5236526.724339335
Order_No_24697,7318810.505743457
Order_No_19103,5269866.348737053
Order_No_6192,6964389.859148923
Order_No_24346,5284146.31637203
Order_No_9862,4622633.942452033
Order_No_24734,5073658.581806287
Order_No_18189,4596034.911502004
Order_No_27172,4239317.701837242
Order_No_14011,5621553.14159045
Order_No_20671,5877549.206227939
Order_No_17099,5350269.214317672
Order_No_22897,7157426.356815215
Order_No_22494,6023282.741620021
Order_No_4077,5214592.5481587825
Order_No_21220,5873530.640783886
Order_No_13220,3650492.1107736984
Order_No_19174,4050988.3417035616
Order_No_18713,5810856.536816965
Order_No_21298,4836614.2999463035
Order_No_10814,4571259.663016159
Order_No_23640,4437308.44203848
Order_No_12642,3667406.8150944747
Order_No_14796,5893638.678796896
Order_No_6235,5621161.858303844
Order_No_17745,6128036.325092617
Order_No_22977,3881740.3299079943
Order_No_13495,5249659.644796722
Order_No_28033,5372264.504664271
Order_No_2273,5829210.20461839
Order_No_22178,6261406.125350042
Order_No_23625,3627292.7828745223
Order_No_10849,4892208.019517296
Order_No_26443,5639044.7497046525
Order_No_20259,5540623.452576852
Order_No_15020,4848617.972174352
Order_No_20222,4594303.889994847
Order_No_1227,6007177.832592017
Order_No_14684,4320289.335494448
Order_No_7219,5632005.13371842
Order_No_23991,6554225.860305302
Order_No_3544,4164082.183851118
Order_No_12140,3983690.151133029
Order_No_16428,5634596.216052667
Order_No_24237,3824943.517348328
Order_No_20812,3980392.8896416803
Order_No_17969,4516261.004879643
Order_No_7106,5431414.785200033
Order_No_25181,5614944.6410710225
Order_No_20059,5589427.969279548
Order_No_11464,3648765.2493118676
Order_No_19530,6124521.986265853
Order_No_7266,4445161.041047417
Order_No_14776,4300232.746520421
Order_No_8187,3867130.185870536
Order_No_11058,4051841.8829131555
Order_No_24929,3410843.869631996
Order_No_14431,5552739.773835222
Order_No_23643,4504227.888892048
Order_No_5633,3889248.961039657
Order_No_21622,4152235.610785044
Order_No_1008,4646333.607619412
Order_No_8970,5455634.6464292435
Order_No_16328,5268367.820337313
Order_No_5604,5157596.547362252
Order_No_23474,6718424.952902523
Order_No_10688,5425440.853493211
Order_No_18491,3836878.801267117
Order_No_20857,4591151.977271076
Order_No_28176,5655688.564083482
Order_No_13933,6213682.445065141
Order_No_21397,5282212.300690679
Order_No_27085,4281771.123092568
Order_No_9860,6237730.286628275
Order_No_19842,4957354.787677262
Order_No_2690,3636015.4165731906
Order_No_13189,4005300.3023946625
Order_No_21567,6269306.256075474
Order_No_26409,4942702.5516285375
Order_No_13863,4443769.591377649
Order_No_4153,4781828.175637099
Order_No_27691,4864749.521829312
Order_No_11007,5512022.588525284
Order_No_22244,5487474.132381778
Order_No_1004,5332248.311448165
Order_No_27383,5493257.905383031
Order_No_2127,6147252.423344907
Order_No_18020,4973544.654548362
Order_No_8516,4693718.921075854
Order_No_10405,5905409.983637164
Order_No_1078,3414116.2631427133
Order_No_11513,5123511.368670093
Order_No_12856,5474863.1352804955
Order_No_11810,5532415.2708098395
Order_No_23272,5715212.084874983
Order_No_20209,4602374.924101126
Order_No_12748,5584713.340043249
Order_No_12539,4812761.069598162
Order_No_5529,5315533.246499735
Order_No_2518,4109360.618834889
Order_No_21137,4552853.155687699
Order_No_27969,6122133.8728175275
Order_No_23008,5115245.098958011
Order_No_5583,3815412.4684881293
Order_No_4761,4005119.817840669
Order_No_9669,6801096.685789624
Order_No_24806,5349535.470777521
Order_No_18985,6899627.877095668
Order_No_12565,5967313.485986959
Order_No_9560,5811337.234345438
Order_No_18862,3516582.460146078
Order_No_4922,6207656.323890998
Order_No_21441,5602999.370177511
Order_No_9159,5757482.027279545
Order_No_9022,4649506.506671736
Order_No_27049,5369617.408010525
Order_No_26486,3700964.843801244
Order_No_4097,5509175.1832023235
Order_No_23139,5440322.73858148
Order_No_25363,5656614.175779395
Order_No_26892,4015262.292499936
Order_No_3469,4940227.673362158
Order_No_23231,4128706.5130656003
Order_No_15424,5434904.451578409
Order_No_19610,3771023.402730672
Order_No_24926,3749587.8270189785
Order_No_637,4273927.753911216
Order_No_27648,5663528.53137063
Order_No_25227,6563431.287663374
Order_No_9982,5825742.523993334
Order_No_4345,4183499.7364774034
Order_No_8175,4664510.802619014
Order_No_2570,6138227.709409392
Order_No_3236,4113688.1724884217
Order_No_19276,5213544.882187312
Order_No_3115,5835236.20414447
Order_No_2920,4529933.861177168
Order_No_25352,5122895.505261628
Order_No_27839,3861716.8167459783
Order_No_9256,3124553.5218783733
Order_No_482,5093522.60919757
Order_No_13576,5402852.084366094
Order_No_19782,3982902.3564403136
Order_No_22117,4894383.093964611
Order_No_3924,6691433.697594957
Order_No_16930,6223986.11618325
Order_No_9752,5819023.344339794
Order_No_18856,4603176.450985521
Order_No_1465,6220235.943922688
Order_No_2207,4416299.181280715
Order_No_26647,4422286.580108675
Order_No_9598,3327224.4750892823
Order_No_6136,4173239.3793714
Order_No_20868,4608304.049345557
Order_No_11640,3876510.871351924
Order_No_21036,4925096.708646003
Order_No_9937,4480988.866040885
Order_No_1938,4802831.873799705
Order_No_14352,5957003.350169111
Order_No_8111,3802579.558407503
Order_No_1288,5439862.372756969
Order_No_17199,5641796.17147895
Order_No_24205,3521069.8704023575
Order_No_15545,3848058.322185539
Order_No_8149,5752669.493144321
Order_No_10383,4666349.266884016
Order_No_7098,3871427.6725200787
Order_No_13355,4006858.4698153036
Order_No_26792,5859771.001240645
Order_No_13673,4437726.395165032
Order_No_19983,5652075.145406863
Order_No_23886,3150012.7545441026
Order_No_17985,6352291.179830247
Order_No_13813,4140214.1379985507
Order_No_21233,4389520.003827505
Order_No_40,4565031.389272306
Order_No_15654,4474081.890186376
Order_No_24330,4528897.902514187
Order_No_6840,6294317.361199924
Order_No_19400,5015339.286360449
Order_No_6424,3195113.617327534
Order_No_0,5338498.875724268
Order_No_1948,6850157.243252934
Order_No_14959,5270710.040156918
Order_No_15036,6236465.414189712
Order_No_6783,6044127.115618053
Order_No_19301,3185433.125791717
Order_No_19236,4703806.800790506
Order_No_20758,4874785.959052452
Order_No_20276,5682059.888139012
Order_No_23465,6340151.815422833
Order_No_23480,6250477.803043891
Order_No_10219,5301430.047473865
Order_No_23825,5744131.557659363
Order_No_21537,4598192.677775594
Order_No_14307,4361416.352098858
Order_No_12599,4110333.85852713
Order_No_20086,5287470.597682292
Order_No_16151,4897611.162058273
Order_No_19898,4405276.067801
Order_No_5079,4330982.631515125
Order_No_5214,5822944.81245013
Order_No_2073,5346120.136515206
Order_No_9998,5091770.426838887
Order_No_7108,4746907.402431736
Order_No_15679,5104903.1092029875
Order_No_24154,4610276.224973199
Order_No_22713,4379799.042004398
Order_No_11668,3718837.0444408963
Order_No_4660,6744860.902509993
Order_No_14109,5338013.2706416715
Order_No_25088,3793238.494328211
Order_No_16572,4059026.4596984903
Order_No_10080,5281206.26638084
Order_No_3932,3820201.166837439
Order_No_18616,3636807.7073408826
Order_No_19394,3414732.203634985
Order_No_16721,3423192.753429551
Order_No_24724,4550460.94788494
Order_No_11295,5200841.7240211535
Order_No_9978,4791100.950746007
Order_No_26105,3387289.7321575247
Order_No_1112,6406310.695077226
Order_No_18747,5750342.816054072
Order_No_21720,7035411.865557901
Order_No_152,4730880.335767367
Order_No_26186,4114295.3947300185
Order_No_12831,3670651.122512417
Order_No_13821,4651652.62311908
Order_No_653,6119472.621557887
Order_No_5489,4835393.192138731
Order_No_17245,3616420.8964113668
Order_No_22849,5957618.635309643
Order_No_19745,5286048.779606799
Order_No_20148,5299488.557087987
Order_No_20574,4708676.7408318445
Order_No_459,6117247.579750073
Order_No_14453,5158991.556003382
Order_No_1356,3598350.2702205484
Order_No_15141,5447462.290245658
Order_No_25880,5930334.364776992
Order_No_25118,4294231.301635542
Order_No_12977,4649967.751301014
Order_No_6639,4726758.32135941
Order_No_19810,3991484.939986922
Order_No_17504,4487384.713040393
Order_No_399,4792654.405603483
Order_No_13027,4428230.512845768
Order_No_7193,6036518.790735231
Order_No_1115,6624560.515264567
Order_No_14790,6065217.5846571075
Order_No_27724,4121233.9120053537
Order_No_15235,3973314.8685507486
Order_No_24075,4384435.285530871
Order_No_18672,5236966.714850626
Order_No_7833,6100721.320306449
Order_No_9084,6226496.149795539
Order_No_11596,4527501.087447921
Order_No_10977,4593362.685011388
Order_No_7261,4620611.557822851
Order_No_380,5958888.187272546
